,Time (s),Mean Score,Std
0,5.715184450149536,1100.7379150390625,536.9246826171875
1,10.936414241790771,1104.135986328125,539.2069091796875
2,17.577301025390625,1104.293212890625,543.04052734375
3,23.961969137191772,1108.65234375,539.0964965820312
4,29.473753690719604,1118.341552734375,546.0479736328125
5,35.419145822525024,1112.6112060546875,538.26171875
6,40.6095016002655,1125.0191650390625,549.3837280273438
7,45.774834632873535,1119.4404296875,543.1373291015625
8,52.25186371803284,1126.1163330078125,546.6802368164062
9,58.74762010574341,1135.5968017578125,552.844970703125
10,65.64688229560852,1139.753173828125,553.6593627929688
11,70.94038796424866,1153.4931640625,560.8624877929688
12,76.97224259376526,1152.5443115234375,564.8429565429688
13,83.38773345947266,1149.77392578125,558.7706909179688
14,89.46482968330383,1161.47314453125,570.1104125976562
15,94.68288469314575,1165.8656005859375,567.1061401367188
16,100.48189687728882,1164.9072265625,569.7391357421875
17,107.20160007476807,1174.768310546875,565.3504028320312
18,112.86065244674683,1176.9884033203125,566.9879150390625
19,118.78258490562439,1172.9595947265625,565.4152221679688
20,125.11470460891724,1183.6207275390625,580.4091796875
21,130.88425970077515,1188.2615966796875,572.1390991210938
22,136.91744136810303,1196.1595458984375,579.388916015625
23,143.62723898887634,1193.34033203125,570.2679443359375
24,149.21875190734863,1188.7027587890625,576.5189208984375
25,154.87594723701477,1208.264404296875,581.4285888671875
26,160.958642244339,1196.5504150390625,579.7944946289062
27,167.2223641872406,1213.1279296875,586.4111938476562
28,173.91974306106567,1229.37353515625,594.6380615234375
29,180.38992357254028,1222.236328125,591.9093017578125
30,186.33636045455933,1226.8231201171875,586.9848022460938
31,191.7333345413208,1219.938720703125,586.96533203125
32,197.88403391838074,1225.005126953125,587.5223388671875
33,203.68207907676697,1231.932373046875,595.2149047851562
34,209.60918951034546,1242.5592041015625,596.098388671875
35,215.76164388656616,1234.786376953125,595.1611938476562
36,221.3471176624298,1244.5035400390625,595.7449340820312
37,227.8893280029297,1248.72314453125,601.091064453125
38,234.59946489334106,1254.5999755859375,603.9644165039062
39,240.33134818077087,1260.6328125,600.9844360351562
40,247.5112419128418,1256.2803955078125,602.1890869140625
41,253.78538513183594,1264.1231689453125,611.841064453125
42,259.5139195919037,1273.4759521484375,612.6444091796875
43,265.6283986568451,1276.4783935546875,618.478759765625
44,272.21842789649963,1262.7080078125,606.1590576171875
45,279.2138650417328,1277.5435791015625,613.0520629882812
46,285.4398865699768,1292.5792236328125,622.8497924804688
47,292.9247236251831,1277.6263427734375,606.7127075195312
48,298.99535155296326,1284.53759765625,612.3372192382812
49,305.5951895713806,1288.16796875,621.4598999023438
50,311.84291911125183,1292.9423828125,623.1355590820312
51,317.83775997161865,1298.8624267578125,619.24609375
52,324.8489100933075,1295.6043701171875,624.564208984375
53,331.7802298069,1312.614013671875,637.9935302734375
54,338.3344249725342,1312.6279296875,629.692626953125
55,344.4703233242035,1316.2103271484375,628.370361328125
56,350.65069031715393,1312.151611328125,622.3080444335938
57,357.7361023426056,1327.284423828125,641.0453491210938
58,363.80570363998413,1330.067138671875,635.9859008789062
59,369.759081363678,1326.5555419921875,635.1377563476562
60,375.73014783859253,1336.292724609375,639.421875
61,382.4679229259491,1334.8455810546875,641.9478759765625
62,389.09201169013977,1320.2196044921875,627.9029541015625
63,395.7853240966797,1333.8828125,636.1611938476562
64,402.31236243247986,1342.562744140625,645.6864624023438
65,408.4920711517334,1333.0247802734375,645.2705688476562
66,414.98152685165405,1342.760009765625,643.179443359375
67,421.6144893169403,1349.3468017578125,648.5004272460938
68,428.6492009162903,1337.30078125,634.909423828125
69,435.8756904602051,1362.3251953125,654.9953002929688
70,442.33092188835144,1358.2139892578125,646.5537719726562
71,448.941862821579,1365.1544189453125,654.3670654296875
72,455.632080078125,1374.647216796875,665.3016967773438
73,463.05836033821106,1366.1732177734375,654.8436889648438
74,470.055540561676,1372.162353515625,655.0914306640625
75,476.6975576877594,1380.5623779296875,653.306396484375
76,483.4218719005585,1378.6343994140625,653.306640625
77,490.11251521110535,1378.3787841796875,663.3204956054688
78,496.5691251754761,1378.268798828125,653.128173828125
79,503.04432487487793,1370.6895751953125,649.0973510742188
80,509.60116386413574,1390.3419189453125,665.3909301757812
81,516.6329391002655,1394.003173828125,661.2272338867188
82,523.2072014808655,1390.9459228515625,665.3424682617188
83,530.1472539901733,1385.6632080078125,662.5992431640625
84,536.9967195987701,1388.8067626953125,660.0780639648438
85,544.2885982990265,1397.264404296875,667.0888061523438
86,551.2670774459839,1405.5743408203125,665.0513305664062
87,557.7877376079559,1390.9627685546875,659.6693115234375
88,564.3074858188629,1410.8004150390625,661.5125732421875
89,570.9245352745056,1412.179931640625,669.970947265625
90,578.4535477161407,1406.82080078125,666.0814819335938
91,584.9157385826111,1410.0635986328125,668.5601196289062
92,591.781366109848,1413.5216064453125,670.2635498046875
93,599.3619005680084,1427.4552001953125,682.232666015625
94,606.9237287044525,1418.64794921875,682.1008911132812
95,613.5392725467682,1426.715576171875,679.7401733398438
96,620.0653157234192,1431.93994140625,683.7843017578125
97,627.9858613014221,1414.627197265625,672.0206909179688
98,634.7034900188446,1443.67919921875,691.4564208984375
99,642.2338690757751,1423.396728515625,675.2075805664062
100,649.0190870761871,1422.1951904296875,663.15234375
101,655.9721779823303,1430.407958984375,683.3471069335938
102,662.6257030963898,1435.038818359375,668.4552612304688
103,670.3364269733429,1440.166015625,678.4932861328125
104,677.050252199173,1440.3707275390625,689.9049682617188
105,683.4671187400818,1442.7127685546875,687.093505859375
106,690.2019374370575,1453.8931884765625,684.7413940429688
107,696.8621954917908,1450.54833984375,683.1246948242188
108,704.1497824192047,1455.7823486328125,694.7838745117188
109,710.5957860946655,1447.2291259765625,681.411865234375
110,717.4178216457367,1449.0167236328125,687.5670776367188
111,724.8311128616333,1459.06640625,688.3150634765625
112,733.0414164066315,1454.0975341796875,685.7299194335938
113,740.2112572193146,1460.9095458984375,694.5956420898438
114,746.7315986156464,1461.3763427734375,682.3280639648438
115,754.9184341430664,1473.2283935546875,703.9885864257812
116,761.7815210819244,1468.42041015625,691.4833374023438
117,768.3099639415741,1463.9188232421875,689.1553955078125
118,775.6698830127716,1465.4947509765625,689.8700561523438
119,783.0504627227783,1469.8975830078125,682.8018798828125
120,790.2324404716492,1478.8443603515625,696.2053833007812
121,797.0776259899139,1484.6099853515625,705.3794555664062
122,803.6134819984436,1484.1551513671875,702.78125
123,810.8507344722748,1489.8951416015625,700.141357421875
124,817.4482944011688,1469.46240234375,687.0850830078125
125,825.1007902622223,1480.5975341796875,692.96484375
126,831.7018640041351,1495.90673828125,710.1567993164062
127,839.1411783695221,1482.805908203125,706.5293579101562
128,846.0586264133453,1492.6771240234375,711.0117797851562
129,853.202365398407,1481.3800048828125,706.9486083984375
130,859.7548837661743,1508.03759765625,709.9827270507812
131,868.0466201305389,1498.9691162109375,703.505126953125
132,874.7535510063171,1506.1075439453125,709.4326171875
133,882.2703759670258,1491.67236328125,696.2269897460938
134,890.7195799350739,1509.0103759765625,714.3587036132812
135,897.3758347034454,1499.400390625,702.9879760742188
136,904.3728604316711,1503.4747314453125,701.3931884765625
137,911.4923467636108,1505.9195556640625,706.9180908203125
138,917.8827197551727,1501.2415771484375,701.1812744140625
139,925.5246651172638,1510.037109375,720.1288452148438
140,931.9223504066467,1511.1971435546875,713.3990478515625
141,939.0514810085297,1518.9683837890625,713.6852416992188
142,945.6029608249664,1497.3875732421875,692.9694213867188
143,952.870824098587,1516.6043701171875,721.3327026367188
144,960.8718860149384,1523.7611083984375,716.1129150390625
145,968.6582708358765,1510.5423583984375,701.7129516601562
146,975.4203681945801,1523.5599365234375,714.7713012695312
147,982.3424513339996,1517.815185546875,720.9215698242188
148,989.3904521465302,1524.2071533203125,716.6522827148438
149,996.9044198989868,1518.3431396484375,714.4403076171875
