,Time (s),Mean,Std
0,23.630325317382812,1040.2001953125,512.0643310546875
1,48.31451869010925,1036.399658203125,509.7749938964844
2,71.78879928588867,1102.1048583984375,538.49267578125
3,94.8089394569397,1102.5859375,538.3716430664062
4,120.63129949569702,1103.689208984375,538.4067993164062
5,143.21818685531616,1104.1248779296875,538.4449462890625
6,166.42595958709717,1104.149169921875,539.895263671875
7,189.9945945739746,1105.0452880859375,539.8807983398438
8,212.31034088134766,1104.2642822265625,539.2257080078125
9,234.6657943725586,1105.2318115234375,539.2372436523438
10,258.74810576438904,1106.1751708984375,540.7946166992188
11,282.89333939552307,1106.6436767578125,540.851318359375
12,306.32310914993286,1107.58837890625,540.0523681640625
13,328.57979369163513,1107.9349365234375,540.5138549804688
14,353.36361932754517,1108.96435546875,541.426513671875
15,376.12482047080994,1109.833251953125,541.9940185546875
16,399.54784297943115,1109.7147216796875,541.5618896484375
17,422.39420318603516,1111.43212890625,543.1383056640625
18,447.17397379875183,1112.1160888671875,543.0570068359375
19,469.9244706630707,1112.0888671875,542.8585205078125
20,492.37927055358887,1113.606689453125,543.7297973632812
21,514.5592925548553,1113.1671142578125,542.8460083007812
22,537.755791425705,1114.466064453125,544.694091796875
23,561.8490135669708,1115.752685546875,544.9819946289062
24,586.801167011261,1117.268310546875,546.0834350585938
25,611.555234670639,1118.0606689453125,546.20751953125
26,635.8826150894165,1119.3939208984375,547.1193237304688
27,662.1993453502655,1120.0174560546875,546.9376831054688
28,685.5307941436768,1121.558837890625,547.4561157226562
29,708.3338994979858,1122.3836669921875,548.1818237304688
30,731.8948986530304,1123.1741943359375,548.0589599609375
31,755.0558805465698,1124.7587890625,549.8106689453125
32,778.820638179779,1124.8272705078125,550.3202514648438
33,802.9725556373596,1127.1746826171875,550.99658203125
34,829.8320033550262,1128.6484375,552.556396484375
35,855.0791113376617,1130.408935546875,553.1511840820312
36,878.5819354057312,1130.540771484375,552.8756713867188
37,902.2658195495605,1132.627197265625,554.1953735351562
38,925.0284214019775,1132.8388671875,553.9697875976562
39,948.8328547477722,1135.721923828125,556.69970703125
40,974.6780502796173,1137.5321044921875,556.28369140625
41,998.9125282764435,1139.1829833984375,557.7199096679688
