Time (s),Mean,Std
21.950833797454834,1103.9559326171875,539.6386108398438
43.64528775215149,1105.3509521484375,536.51171875
66.91377353668213,1103.6162109375,540.128662109375
88.81466674804688,1103.186279296875,538.4044799804688
110.92223763465881,1103.2974853515625,539.113525390625
132.05616879463196,1103.9927978515625,539.2705078125
153.18730759620667,1103.8055419921875,538.7001953125
175.29158520698547,1104.8677978515625,538.894287109375
198.20242619514465,1106.4688720703125,540.5900268554688
220.14101934432983,1106.47607421875,540.6373901367188
242.2395601272583,1105.8251953125,540.2598876953125
264.5092103481293,1107.1378173828125,541.2001953125
284.76872992515564,1108.564453125,541.209228515625
306.4050221443176,1109.1627197265625,541.0737915039062
327.5669484138489,1108.28076171875,540.381591796875
349.3932147026062,1109.85009765625,542.2599487304688
370.7385222911835,1110.6910400390625,542.1346435546875
392.111389875412,1110.185546875,542.546630859375
413.7042329311371,1112.0609130859375,543.654052734375
435.43424224853516,1112.5460205078125,543.9322509765625
456.46337699890137,1113.537353515625,544.4896850585938
479.1238157749176,1114.9949951171875,544.3381958007812
501.66215229034424,1114.707275390625,544.7581176757812
523.5416960716248,1117.2763671875,545.8787231445312
544.9060592651367,1117.577880859375,546.1881713867188
568.5251607894897,1117.4324951171875,545.8762817382812
592.1058039665222,1118.2591552734375,545.6306762695312
613.7834858894348,1120.1024169921875,546.9700927734375
635.8508279323578,1120.4595947265625,546.910888671875
658.4005045890808,1122.0736083984375,548.7473754882812
679.9467566013336,1122.71875,548.0919189453125
702.9654607772827,1125.0126953125,550.2850952148438
725.9796962738037,1125.7838134765625,550.4105224609375
751.7225885391235,1127.63720703125,550.76953125
775.7726209163666,1127.499267578125,550.9637451171875
798.287727355957,1128.9046630859375,552.3900756835938
820.1680569648743,1131.20947265625,553.9230346679688
842.0855655670166,1131.925048828125,553.7022094726562
864.4922556877136,1134.163330078125,554.32080078125
887.2747848033905,1136.1978759765625,556.5993041992188
909.9838545322418,1138.0374755859375,557.2000122070312
932.1056342124939,1138.0634765625,556.5993041992188
954.3492934703827,1139.8941650390625,558.1776123046875
976.1716659069061,1141.253662109375,558.5841064453125
1000.2900207042694,1144.133056640625,560.0120239257812
1022.5571794509888,1144.4442138671875,560.4703369140625
1045.230756521225,1146.1414794921875,562.6156005859375
1068.8059091567993,1148.7034912109375,562.7633056640625
1090.2579183578491,1149.4305419921875,563.6177978515625
1113.2869279384613,1151.85888671875,564.548583984375
1136.2586901187897,1154.67236328125,566.6751708984375
1159.42187833786,1155.1363525390625,566.3414916992188
1183.0936796665192,1158.7757568359375,567.945556640625
1206.0849471092224,1160.503173828125,570.2218627929688
1231.0133500099182,1161.688720703125,570.0962524414062
1253.3995125293732,1163.257080078125,571.8892211914062
1277.8936700820923,1164.7982177734375,572.803955078125
1300.2624068260193,1167.5543212890625,573.550048828125
1324.5006883144379,1169.3492431640625,574.9180908203125
1347.0223445892334,1170.896728515625,576.0056762695312
1371.2927660942078,1173.8475341796875,577.3125
1396.1344504356384,1175.53515625,578.2254638671875
1419.3152556419373,1178.2425537109375,580.0528564453125
1443.4687559604645,1179.4432373046875,580.2638549804688
1467.7813234329224,1182.3951416015625,582.9407348632812
